station, latitude, longitude,group ,gcolor,Depth,PP_Percent,Bacterivory_Percent
A,-64.54078,-62.3734,Gerlache,#F8766D,Surf,,
A,-64.54078,-62.3734,Gerlache,#F8766D,DCM,,
B,-64.82037,-64.07356,Palmer,#E76BF2,Surf,,
B,-64.82037,-64.07356,Palmer,#E76BF3,DCM,,
C,-64.89646,-64.2025,Palmer,#E76BF3,Surf,95,5
C,-64.89646,-64.2025,Palmer,#E76BF4,DCM,62,38
D/Q,-64.9517,-64.30869,Palmer,#E76BF4,Surf,,
D/Q,-64.9517,-64.30869,Palmer,#E76BF5,DCM,,
E,-65.2386,-64.19871,Grrandidier,#A3A499,Surf,76,24
E,-65.2386,-64.19871,Grrandidier,#A3A500,DCM,87,13
G,-65.49254,-64.547,Grandidier,#A3A500,Surf,84,16
G,-65.49254,-64.547,Grandidier,#A3A501,DCM,37,63
H,-65.0079,-66.37487,Offshore,#00B0F5,Surf,78,22
H,-65.0079,-66.37487,Offshore,#00B0F6,DCM,96,4
I,-67.14599,-69.55949,Offshore,#00B0F6,Surf,,
I,-67.14599,-69.55949,Offshore,#00B0F7,DCM,,
J,-67.78968,-68.65465,Marguerite,#00BF7D,Surf,93,7
J,-67.78968,-68.65465,Marguerite,#00BF7D,DCM,86,14
K,-67.6584,-67.93331,Marguerite,#00BF7D,Surf,81,19
K,-67.6584,-67.93331,Marguerite,#00BF7D,DCM,51,49
L,-67.94032,-67.6533,Marguerite,#00BF7D,Surf,75,25
L,-67.94032,-67.6533,Marguerite,#00BF7D,DCM,87,13
M,-68.04677,-68.29948,Marguerite,#00BF7D,Surf,95,5
M,-68.04677,-68.29948,Marguerite,#00BF7D,DCM,73,27
N/N1/R,-64.84692,-62.92976,Gerlache,#F8766D,Surf,,
N/N1/R,-64.84692,-62.92976,Gerlache,#F8766D,DCM,,
#N1,-64.84598,-62.93048,Gerlache,#F8766D,Surf,,
#N1,-64.84598,-62.93048,Gerlache,#F8766D,DCM,,
O,-66.70944,-68.53136,Offshore,#00B0F5,Surf,,
O,-66.70944,-68.53136,Offshore,#00B0F6,DCM,,
P,-65.88616,-67.7645,Offshore,#00B0F6,Surf,,
P,-65.88616,-67.7645,Offshore,#00B0F7,DCM,,
#Q,-64.95231,-64.32317,Palmer,#E76BF2,Surf,,
#Q,-64.95231,-64.32317,Palmer,#E76BF3,DCM,,
#R,-64.84432,-62.9425,Gerlache,#F8766D,Surf,,
#R,-64.84432,-62.9425,Gerlache,#F8766D,DCM,,
Palmer,-64.76666,-64.05,other,grey50,,,
MargueriteBay,-68.3,-68.5,other,grey50,,,
SouthernOcean,-64,-68,other,grey50,,,
GerlacheStrait,-64.8,-62.5,other,grey50,,,
GrandidierChannel,-66,-66.5,other,grey50,,,
WeddelSea,-67,-62,other,grey50,,,
Rothera,-67.5666644,-68.1333328,other,grey50,,,